Published Airline,GEO Summary,Passenger Count
"COPA Airlines, Inc.",International,664456
Air France,International,1695145
Volaris Airlines,International,233571
Lufthansa German Airlines,International,2412736
US Airways,Domestic,1402480
Thomas Cook Airlines,International,94696
Swissport USA,Domestic,98
Frontier Airlines,Domestic,2551403
ABC Aerolineas S.A. de C.V. dba Interjet,International,153955
Virgin Atlantic,International,1400350
Cathay Pacific,International,2368045
KLM Royal Dutch Airlines,International,1314602
Singapore Airlines,International,1570072
Finnair,International,107667
Sun Country Airlines,International,15200
Virgin America,Domestic,15734342
Icelandair EHF,International,106887
Trego Dugan Aviation,Domestic,412
Miami Air International,Domestic,166
Aeromexico,International,1424544
Air Italy S.P.A,International,31354
Southwest Airlines,Domestic,16885774
Iberia,International,127722
Air Pacific Limited dba Fiji Airways,International,145162
Air China,International,1107132
SAS Airlines,International,711096
Swissport USA,International,1126
Norwegian Air UK Ltd,International,82735
American Airlines,Domestic,19962360
WestJet Airlines,International,545598
El Al Israel Airlines LTD.,International,21775
Sun Country Airlines,Domestic,829392
XL Airways France,International,112496
Virgin America,International,385441
Korean Air Lines,International,1266520
Etihad Airways,International,376679
Air Berlin,International,151608
JetBlue Airways,Domestic,7202943
Turkish Airlines,International,958353
TACA,International,698113
EVA Airways,International,2213549
Aer Lingus,International,733749
Republic Airlines,Domestic,102
Asiana Airlines,International,905650
China Southern,International,820872
Japan Airlines,International,713158
Delta Air Lines,Domestic,20443847
Hong Kong Airlines Limited,International,176582
Alaska Airlines,Domestic,14302990
United Airlines,Domestic,96235516
TAP Air Portugal,International,41695
All Nippon Airways,International,777944
Air New Zealand,International,960342
Qantas Airways,International,775636
Air India Limited,International,528135
Air Canada,International,4762187
British Airways,International,2157484
WOW Air,International,359809
Philippine Airlines,International,1308880
China Airlines,International,1124816
Hawaiian Airlines,Domestic,1737041
China Eastern,International,944979
Emirates,International,1439070
United Airlines,International,19951551
French Bee,International,184905
Alaska Airlines,International,876873
Swiss International,International,902912
